Name,Followers,Popularity,Did They Win
Zac Brown Band,1874027,77,1
Esperanza Spalding,236041,62,1
Bon Iver,2490997,79,1
fun.,3313046,73,1
Macklemore & Ryan Lewis,2424691,78,1
Sam Smith,10762405,92,1
Meghan Trainor,8290824,84,1
Chance the Rapper,4532155,87,1
Alessia Cara,6422252,85,1
Dua Lipa,14518323,91,1
Christina Aguilera,4727386,83,1
Shelby Lynne,27609,45,1
Alicia Keys,6895871,83,1
Norah Jones,2030526,78,1
Evanescence,2468313,76,1
Maroon 5,21196395,93,1
John Legend,4769834,85,1
Carrie Underwood,3650135,76,1
Amy Winehouse,6044742,80,1
Adele,18809438,86,1
Beyoncé,21123793,90,0
The Black Eyed Peas,3883603,88,0
Lady Gaga,9913777,89,0
Dave Matthews Band,1193157,71,0
Lady Gaga,9913777,89,0
Lady Antebellum,2728244,76,0
Eminem,31308830,94,0
Katy Perry,14302188,88,0
Lady Gaga,9913777,89,0
Bruno Mars,23149757,90,0
Rihanna,35314708,91,0
Foo Fighters,7060207,82,0
Jack White,980245,64,0
Frank Ocean,5056482,88,0
The Black Keys,3054845,78,0
fun.,3313046,73,0
Sara Bareilles,1310488,76,0
Kendrick Lamar,13638119,91,0
Macklemore & Ryan Lewis,2424691,78,0
Taylor Swift,24952354,95,0
Beyoncé,21123793,90,0
Pharrell Williams,2952067,82,0
Sam Smith,10762405,92,0
Ed Sheeran,55525549,98,0
The Weeknd,17969915,94,0
Alabama Shakes,1280998,68,0
Kendrick Lamar,13638119,91,0
Chris Stapleton,1955538,78,0
Beyoncé,21123793,90,0
Justin Bieber,31678024,95,0
Sturgill Simpson,336880,68,0
Drake,42857990,98,0
Childish Gambino,5716542,82,0
Kendrick Lamar,13638119,91,0
JAY-Z,5015592,87,0
Lorde,5101576,80,0
Post Malone,20208175,100,0
Kendrick Lamar,13638119,91,0
Brandi Carlile,367546,70,0
Janelle Monáe,785485,73,0
H.E.R.,1969904,82,0
Cardi B,10139202,92,0
Drake,42857990,98,0
TLC,1889842,73,0
Dixie Chicks,852467,72,0
Backstreet Boys,2811408,82,0
Diana Krall,665586,73,0
Radiohead,4742554,82,0
Eminem,31308830,94,0
Beck,1018678,74,0
Paul Simon,1163872,74,0
India.Arie,533320,63,0
U2,5986991,83,0
Bob Dylan,3790683,79,0
OutKast,1231736,77,0
Eminem,31308830,94,0
Dixie Chicks,852467,72,0
Nelly,1386227,78,0
Bruce Springsteen,2701396,82,0
The White Stripes,1962088,75,0
Evanescence,2468313,76,0
Justin Timberlake,8517211,83,0
Missy Elliott,1202762,78,0
Green Day,9920414,84,0
Kanye West,10825990,95,0
Usher,7282066,84,0
Alicia Keys,6895871,83,0
Paul McCartney,2612348,80,0
Mariah Carey,5046997,89,0
Kanye West,10825990,95,0
Gwen Stefani,3492379,78,0
John Mayer,4250740,86,0
Justin Timberlake,8517211,83,0
Gnarls Barkley,309456,68,0
Red Hot Chili Peppers,12177186,87,0
Amy Winehouse,6044742,80,0
Foo Fighters,7060207,82,0
Kanye West,10825990,95,0
Vince Gill,284995,66,0
Radiohead,4742554,82,0
Lil Wayne,8506468,91,0
Coldplay,23419831,93,0
Ne-Yo,4929963,82,0
